Luogo,Latitudine,Longitudine,Scala,DPI,formato,landscape
"Piazza San Pietro, Roma",41.90214305425939,12.455172359172629,6000,300,A4,y
Napoli,40.85702025510254,14.264794285067198,10000,300,A4,y
